ID,Unnamed: 0,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I),dif_VI,dif_VR
5214101,441,16.841,0.025,0.792,0.031,1.49,0.036,8.202937431123283,1.6826960000000002,0.8857440000000001,0.7969520000000001,0.483042202978595,1.0659366908361836
5213956,445,14.729,0.005,0.757,0.006,1.504,0.007,6.090937431123281,1.696696,0.850744,0.845952,2.6506809178594057,2.862570854183483
5215031,447,16.863,0.024,0.688,0.031,1.415,0.035,8.224937431123282,1.607696,0.781744,0.825952,0.1591847471563721,0.09424395899028681
5214872,449,17.611,0.047,0.669,0.063,1.25,0.075,8.972937431123283,1.442696,0.7627439999999999,0.6799520000000001,-1.2758482853997162,-0.8313210382453153
5214877,454,15.034,0.006,0.971,0.007,1.899,0.008,6.395937431123283,2.091696,1.064744,1.026952,3.8271459722049244,4.416312444644772
5215031,461,15.085,0.006,0.822,0.008,1.593,0.008,6.446937431123283,1.785696,0.915744,0.8699520000000001,2.6432474121426175,3.088771655129827
5214984,462,15.559,0.008,0.615,0.011,1.233,0.013,6.920937431123281,1.425696,0.708744,0.716952,0.7035384746724507,0.7093083635556621
5215459,471,14.499,0.004,0.623,0.006,1.223,0.007,5.860937431123283,1.4156960000000005,0.716744,0.6989520000000002,1.7206629880984687,1.8456887115859884
5221434,473,15.348,0.007,0.786,0.009,1.586,0.01,6.709937431123283,1.7786960000000005,0.8797439999999999,0.8989520000000004,2.353151275931406,2.5051831007707133
5220953,481,16.627,0.02,0.679,0.027,1.393,0.03,7.988937431123281,1.5856960000000002,0.7727440000000001,0.8129520000000001,0.3054168217072597,0.24628864141940987
5220511,492,16.72,0.023,0.601,0.031,1.289,0.036,8.081937431123281,1.481696,0.694744,0.7869520000000001,-0.21956750697373817,-0.5858733550537005
5222336,504,14.866,0.005,0.645,0.007,1.304,0.008,6.227937431123282,1.4966960000000002,0.7387439999999998,0.7579520000000004,1.697521483062892,1.6876228121540366
5222416,505,16.969,0.03,0.701,0.039,1.395,0.043,8.330937431123283,1.587696,0.7947439999999999,0.7929520000000001,-0.02839936430083334,0.10902018332277841
5222757,506,17.345,0.039,1.041,0.046,1.998,0.047,8.706937431123281,2.190696,1.1347439999999998,1.0559520000000002,1.8618058872602141,2.676238498980803
5222643,507,17.044,0.031,0.749,0.041,1.49,0.044,8.405937431123283,1.6826960000000002,0.8427439999999999,0.8399520000000003,0.2800422029785956,0.4748786803108125
5214296,517,16.197,0.014,0.866,0.018,1.672,0.019,7.558937431123281,1.864696,0.959744,0.9049520000000002,1.8333189466398174,2.362249019647887
5214683,522,15.624,0.009,0.772,0.011,1.544,0.013,6.985937431123283,1.736696,0.8657440000000001,0.870952,1.9134336290744756,2.1032597607093724
5215826,524,16.705,0.023,0.827,0.029,1.611,0.03,8.06693743112328,1.803696,0.9207439999999998,0.8829520000000004,1.092675071905017,1.5129294742738288
5215168,525,17.418,0.041,0.778,0.052,1.491,0.059,8.779937431123281,1.683696,0.8717439999999999,0.8119520000000002,-0.08997625985403346,0.36331219201829335
5215462,526,17.518,0.045,0.948,0.055,1.857,0.058,8.879937431123283,2.049696,1.0417439999999998,1.0079520000000002,1.193489612901251,1.7406503983611827
5220809,532,16.802,0.026,0.731,0.033,1.389,0.039,8.163937431123282,1.5816960000000002,0.8247439999999999,0.7569520000000003,0.11403531002737388,0.5524991798996837
5220273,533,15.352,0.008,0.518,0.011,1.078,0.014,6.7139374311232825,1.2706960000000005,0.6117440000000001,0.6589520000000002,0.23232777537338034,-0.02669819449530486
